participant_code,questions_attempted,accuracy_pct,score,n_correct,n_incorrect,n_unattempted
P1,10,100%,7360,10,0,0
P2,10,90%,7940,9,1,0
P3,10,90%,7720,9,1,0
P4,10,90%,7630,9,1,0
P5,10,90%,7630,9,1,0
P6,10,90%,7540,9,1,0
P7,10,80%,7140,8,2,0
P8,9,80%,6840,8,1,1
P9,10,80%,6830,8,2,0
P10,9,80%,6700,8,1,1
P11,10,80%,6510,8,2,0
P12,10,70%,6140,7,3,0
P13,10,70%,6160,7,3,0
P14,10,70%,5880,7,3,0
P15,10,60%,5170,6,4,0
P16,10,60%,5080,6,4,0
P17,10,50%,4290,5,5,0
P18,9,50%,4040,5,4,1
P19,9,50%,4150,5,4,1
P20,9,50%,3930,5,4,1
P21,9,50%,3880,5,4,1
P22,8,50%,3510,5,3,2
P23,10,40%,3540,4,6,0
P24,10,40%,3010,4,6,0
P25,10,30%,2620,3,7,0
