respondent_id,prior_board_game_experience,prior_educational_game_experience,usability_1_easy_to_use,usability_2_no_problems,usability_3_instructions_helpful,learning_1_series_parallel,learning_2_breadboard,learning_3_confidence,learning_4_solved_activities,satisfaction_1_enjoyed,satisfaction_2_relevant,satisfaction_3_want_more,satisfaction_4_motivated,learned_more_than_traditional_class
1,Si,No,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
2,Si,Si,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,Si
3,Si,No,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
4,Si,Si,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
5,Si,Si,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
6,Si,Si,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
7,Si,No,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,No
8,Si,Si,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,Si
9,Si,Si,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
10,Si,Si,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,Si
11,Si,Si,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,Es algo para reforzar conceptos
12,Si,Si,3.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,Si
13,Si,Si,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,,Si
14,Si,Si,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Si
15,No,Si,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,,,,Si
16,Si,Si,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
17,Si,Si,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,Si
18,Si,Si,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
19,Si,Si,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
20,Si,Si,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
21,Si,No,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
22,Si,Si,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
23,Si,Si,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Entendí más visualmente complementando con la teoría 
24,Si,No,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No
25,Si,Si,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Si
