match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,llama3.3:70b,mixtral:latest,P1,13,125,30,4,1,8,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,125,30,0,0,0,0,0,0,0,1,0,0,0,,36.45890998840332
2,llama3.3:70b,mixtral:latest,P1,13,125,35,4,1,8,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,125,35,0,0,0,0,0,0,0,1,0,0,0,,29.16709041595459
3,llama3.3:70b,mixtral:latest,P1,13,130,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,4,0,0,0,,48.44692516326904
4,llama3.3:70b,mixtral:latest,P1,13,125,30,4,1,8,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,125,30,0,0,0,0,0,0,0,1,0,0,0,,26.30730938911438
5,llama3.3:70b,mixtral:latest,P1,13,125,35,4,1,8,4,3,13,4,1,4,1,0,0,0,0,0,0,0,0,125,35,0,0,0,0,0,0,0,1,0,0,0,,22.589731216430664
6,llama3.3:70b,mixtral:latest,P1,13,130,65,4,2,8,6,0,10,4,2,4,2,0,0,0,0,0,0,0,0,130,65,0,0,0,0,0,0,0,2,0,0,0,,24.746183156967163
7,llama3.3:70b,mixtral:latest,P1,13,130,100,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,100,0,0,0,0,0,0,0,4,0,0,0,,28.002025365829468
8,llama3.3:70b,mixtral:latest,P2,13,125,145,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,145,0,0,0,0,0,0,0,4,0,0,0,,25.406211614608765
9,llama3.3:70b,mixtral:latest,P1,13,130,65,4,2,8,6,0,10,4,2,4,2,0,0,0,0,0,0,0,0,130,65,0,0,0,0,0,0,0,2,0,0,0,,24.669020414352417
10,llama3.3:70b,mixtral:latest,P1,13,130,100,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,100,0,0,0,0,0,0,0,4,0,0,0,,29.82579731941223
11,llama3.3:70b,mixtral:latest,P1,13,125,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,115,0,0,0,0,0,0,0,4,0,0,0,,27.336092710494995
12,llama3.3:70b,mixtral:latest,P1,13,135,105,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,135,105,0,0,0,0,0,0,0,4,0,0,0,,28.809422969818115
13,llama3.3:70b,mixtral:latest,P2,13,95,105,3,3,6,9,9,6,3,3,3,3,0,0,0,0,0,0,0,0,95,105,0,0,0,0,0,0,0,4,0,0,0,,23.133881092071533
14,llama3.3:70b,mixtral:latest,P1,13,135,65,4,2,9,6,0,10,4,2,4,2,0,0,0,0,0,0,0,0,135,65,0,0,0,0,0,0,0,2,0,0,0,,24.376256227493286
15,llama3.3:70b,mixtral:latest,P1,13,125,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,105,0,0,0,0,0,0,0,4,0,0,0,,29.62959909439087
16,llama3.3:70b,mixtral:latest,P2,13,140,145,4,4,9,10,0,4,4,4,4,4,0,0,0,0,0,0,0,0,140,145,0,0,0,0,0,0,1,4,0,0,0,,34.87871170043945
17,llama3.3:70b,mixtral:latest,P1,13,125,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,115,0,0,0,0,0,0,0,4,0,0,0,,28.468544483184814
18,llama3.3:70b,mixtral:latest,P1,13,130,110,4,3,8,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,4,0,0,0,,28.17835783958435
19,llama3.3:70b,mixtral:latest,P2,13,100,100,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,4,0,0,0,,22.9002685546875
20,llama3.3:70b,mixtral:latest,P1,13,125,35,4,1,8,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,125,35,0,0,0,0,0,0,0,1,0,0,0,,24.578160524368286
21,llama3.3:70b,mixtral:latest,P1,13,140,105,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,105,0,0,0,0,0,0,0,4,0,0,0,,27.326147079467773
22,llama3.3:70b,mixtral:latest,P1,13,125,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,110,0,0,0,0,0,0,0,4,0,0,0,,27.364065170288086
23,llama3.3:70b,mixtral:latest,P2,13,130,140,4,4,9,8,5,1,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,3,0,0,0,,27.392653226852417
24,llama3.3:70b,mixtral:latest,P2,13,90,115,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,90,115,0,0,0,0,0,0,0,3,0,0,0,,22.490933179855347
25,llama3.3:70b,mixtral:latest,P1,13,135,105,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,135,105,0,0,0,0,0,0,0,4,0,0,0,,25.815889835357666
26,llama3.3:70b,mixtral:latest,P1,13,125,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,105,0,0,0,0,0,0,0,4,0,0,0,,26.094411373138428
27,llama3.3:70b,mixtral:latest,P1,13,120,35,4,1,8,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,120,35,0,0,0,0,0,0,0,1,0,0,0,,22.789483070373535
28,llama3.3:70b,mixtral:latest,P1,13,135,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,135,105,0,0,0,0,0,0,0,4,0,0,0,,25.722687482833862
29,llama3.3:70b,mixtral:latest,P2,13,125,155,4,4,8,10,0,2,4,4,4,4,0,0,0,0,0,0,0,0,125,155,0,0,0,0,0,0,0,4,0,0,0,,25.407104969024658
30,llama3.3:70b,mixtral:latest,P1,13,125,30,4,1,8,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,125,30,0,0,0,0,0,0,0,1,0,0,0,,24.041441202163696
31,llama3.3:70b,mixtral:latest,P1,13,130,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,105,0,0,0,0,0,0,0,4,0,0,0,,28.974751710891724
32,llama3.3:70b,mixtral:latest,P1,13,125,35,4,1,8,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,125,35,0,0,0,0,0,0,0,1,0,0,0,,22.553211450576782
33,llama3.3:70b,mixtral:latest,P1,13,130,30,4,1,8,4,1,13,4,1,4,1,0,0,0,0,0,0,0,0,130,30,0,0,0,0,0,0,0,1,0,0,0,,24.879969596862793
34,llama3.3:70b,mixtral:latest,P1,13,120,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,120,110,0,0,0,0,0,0,0,4,0,0,0,,29.08597493171692
35,llama3.3:70b,mixtral:latest,P2,13,95,115,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,95,115,0,0,0,0,0,0,0,4,0,0,0,,23.51499843597412
36,llama3.3:70b,mixtral:latest,P1,13,135,115,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,135,115,0,0,0,0,0,0,0,4,0,0,0,,27.085896015167236
37,llama3.3:70b,mixtral:latest,P1,13,130,100,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,100,0,0,0,0,0,0,0,4,0,0,0,,26.39028573036194
38,llama3.3:70b,mixtral:latest,P1,13,130,110,4,3,8,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,4,0,0,0,,25.983222007751465
39,llama3.3:70b,mixtral:latest,P1,13,130,60,4,2,9,6,5,10,4,2,4,2,0,0,0,0,0,0,0,0,130,60,0,0,0,0,0,0,0,1,0,0,0,,22.618886709213257
40,llama3.3:70b,mixtral:latest,P1,13,125,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,115,0,0,0,0,0,0,0,4,0,0,0,,26.073198795318604
41,llama3.3:70b,mixtral:latest,P1,13,130,65,4,2,8,6,1,10,4,2,4,2,0,0,0,0,0,0,0,0,130,65,0,0,0,0,0,0,0,2,0,0,0,,28.026598930358887
42,llama3.3:70b,mixtral:latest,P2,13,130,140,4,4,8,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,4,0,0,0,,27.542128562927246
43,llama3.3:70b,mixtral:latest,P1,13,135,60,4,2,8,6,1,10,4,2,4,2,0,0,0,0,0,0,0,0,135,60,0,0,0,0,0,0,0,1,0,0,0,,22.84626078605652
44,llama3.3:70b,mixtral:latest,P1,13,125,70,4,2,8,6,0,10,4,2,4,2,0,0,0,0,0,0,0,0,125,70,0,0,0,0,0,0,0,0,0,0,0,,22.848133325576782
45,llama3.3:70b,mixtral:latest,P2,13,125,145,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,145,0,0,0,0,0,0,0,4,0,0,0,,26.153133630752563
