match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,llama3.3:70b,mixtral:latest,P1,13,125,35,4,1,8,4,6,13,4,1,4,1,30,35,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,34.332587480545044
2,llama3.3:70b,mixtral:latest,P1,13,130,40,4,1,8,4,0,13,4,1,4,1,65,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,26.873799085617065
3,llama3.3:70b,mixtral:latest,P1,13,130,30,4,1,8,4,1,13,4,1,4,1,65,0,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,21.740521907806396
4,llama3.3:70b,mixtral:latest,P1,13,130,30,4,1,8,4,0,13,4,1,4,1,100,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,21.483688592910767
5,llama3.3:70b,mixtral:latest,P1,13,130,40,4,1,8,4,0,13,4,1,4,1,65,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,22.332380294799805
6,llama3.3:70b,mixtral:latest,P1,13,130,40,4,1,8,4,0,13,4,1,4,1,65,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,20.928789854049683
7,llama3.3:70b,mixtral:latest,P1,13,130,30,4,1,8,4,0,13,4,1,4,1,100,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20.137840032577515
8,llama3.3:70b,mixtral:latest,P1,13,135,30,4,1,8,4,0,13,4,1,4,1,105,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,22.606879472732544
9,llama3.3:70b,mixtral:latest,P1,13,140,30,4,1,8,4,0,13,4,1,4,1,105,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,21.115566730499268
10,llama3.3:70b,mixtral:latest,P1,13,130,30,4,1,8,4,0,13,4,1,4,1,95,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,22.794501066207886
