match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,llama3.3:70b,qwen3:32b,P1,13,130,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,105,0,0,0,0,0,0,0,4,0,0,0,,52.65654015541077
2,llama3.3:70b,qwen3:32b,P2,13,125,145,4,4,8,8,0,3,4,4,4,4,0,0,0,0,0,0,0,0,125,145,0,0,0,0,0,0,0,4,0,0,0,,40.899462938308716
3,llama3.3:70b,qwen3:32b,P2,13,135,140,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,135,140,0,0,0,0,0,0,0,4,0,0,0,,41.459609031677246
4,llama3.3:70b,qwen3:32b,P1,13,125,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,110,0,0,0,0,0,0,0,4,0,0,0,,39.5819354057312
5,llama3.3:70b,qwen3:32b,P2,13,135,140,4,4,9,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,135,140,0,0,0,0,0,0,0,4,0,0,0,,40.20759963989258
6,llama3.3:70b,qwen3:32b,P1,13,130,100,4,3,8,8,6,7,4,3,4,3,0,0,0,0,0,0,0,0,130,100,0,0,0,0,0,0,0,4,0,0,0,,35.94311809539795
7,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,130,115,0,0,0,0,0,0,0,4,0,0,0,,40.17642092704773
8,llama3.3:70b,qwen3:32b,P1,13,130,110,4,3,8,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,4,0,0,0,,40.88727045059204
9,llama3.3:70b,qwen3:32b,P2,13,130,140,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,4,0,0,0,,39.698201417922974
10,llama3.3:70b,qwen3:32b,P1,13,125,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,110,0,0,0,0,0,0,0,4,0,0,0,,39.86452531814575
11,llama3.3:70b,qwen3:32b,P2,13,90,115,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,90,115,0,0,0,0,0,0,0,4,0,0,0,,35.461188316345215
12,llama3.3:70b,qwen3:32b,P1,13,125,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,105,0,0,0,0,0,0,0,4,0,0,0,,41.19020462036133
13,llama3.3:70b,qwen3:32b,P1,13,125,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,115,0,0,0,0,0,0,0,4,0,0,0,,41.308330059051514
14,llama3.3:70b,qwen3:32b,P1,13,140,100,4,3,9,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,140,100,0,0,0,0,0,0,0,4,0,0,0,,41.40081524848938
15,llama3.3:70b,qwen3:32b,P1,13,175,105,5,3,11,8,1,7,5,3,5,3,0,0,0,0,0,0,0,0,175,105,0,0,0,0,0,0,0,4,0,0,0,,40.945027351379395
16,llama3.3:70b,qwen3:32b,P1,13,120,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,120,110,0,0,0,0,0,0,0,4,0,0,0,,40.02218437194824
17,llama3.3:70b,qwen3:32b,P1,13,120,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,120,115,0,0,0,0,0,0,0,4,0,0,0,,39.8374457359314
18,llama3.3:70b,qwen3:32b,P1,13,125,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,110,0,0,0,0,0,0,0,4,0,0,0,,41.70752215385437
19,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,135,110,0,0,0,0,0,0,0,4,0,0,0,,41.12023186683655
20,llama3.3:70b,qwen3:32b,P1,13,140,135,4,4,9,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,140,135,0,0,0,0,0,0,0,4,0,0,0,,40.33826518058777
21,llama3.3:70b,qwen3:32b,P2,13,125,135,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,135,0,0,0,0,0,0,0,4,0,0,0,,39.080389976501465
22,llama3.3:70b,qwen3:32b,P1,13,125,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,115,0,0,0,0,0,0,0,4,0,0,0,,40.82575535774231
23,llama3.3:70b,qwen3:32b,P2,13,130,140,4,4,8,9,0,5,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,4,0,0,0,,40.60055875778198
24,llama3.3:70b,qwen3:32b,P1,13,125,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,105,0,0,0,0,0,0,0,4,0,0,0,,40.49425005912781
25,llama3.3:70b,qwen3:32b,P1,13,130,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,105,0,0,0,0,0,0,0,4,0,0,0,,41.519537925720215
26,llama3.3:70b,qwen3:32b,P1,13,135,115,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,135,115,0,0,0,0,0,0,0,4,0,0,0,,39.67129111289978
27,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,115,0,0,0,0,0,0,0,4,0,0,0,,42.51702260971069
28,llama3.3:70b,qwen3:32b,P1,13,125,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,115,0,0,0,0,0,0,0,4,0,0,0,,38.822935342788696
29,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,145,110,0,0,0,0,0,0,0,4,0,0,0,,39.97030735015869
30,llama3.3:70b,qwen3:32b,P1,13,135,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,135,105,0,0,0,0,0,0,0,4,0,0,0,,42.864248514175415
31,llama3.3:70b,qwen3:32b,P1,13,125,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,110,0,0,0,0,0,0,0,4,0,0,0,,41.67119836807251
32,llama3.3:70b,qwen3:32b,P1,13,130,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,4,0,0,0,,42.153979539871216
33,llama3.3:70b,qwen3:32b,P2,13,95,115,3,3,6,9,9,6,3,3,3,3,0,0,0,0,0,0,0,0,95,115,0,0,0,0,0,0,0,4,0,0,0,,35.71151876449585
34,llama3.3:70b,qwen3:32b,P1,13,130,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,4,0,0,0,,46.24055314064026
35,llama3.3:70b,qwen3:32b,P1,13,130,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,105,0,0,0,0,0,0,0,4,0,0,0,,56.12238883972168
36,llama3.3:70b,qwen3:32b,P1,13,130,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,4,0,0,0,,42.236069202423096
37,llama3.3:70b,qwen3:32b,P1,13,125,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,110,0,0,0,0,0,0,0,4,0,0,0,,41.840917110443115
38,llama3.3:70b,qwen3:32b,P1,13,130,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,110,0,0,0,0,0,0,0,4,0,0,0,,39.28492093086243
39,llama3.3:70b,qwen3:32b,P1,13,125,115,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,125,115,0,0,0,0,0,0,0,4,0,0,0,,39.89687943458557
40,llama3.3:70b,qwen3:32b,P1,13,135,130,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,135,130,0,0,0,0,0,0,0,4,0,0,0,,40.34049940109253
41,llama3.3:70b,qwen3:32b,P2,13,130,135,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,135,0,0,0,0,0,0,0,4,0,0,0,,40.337037324905396
42,llama3.3:70b,qwen3:32b,P1,13,130,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,105,0,0,0,0,0,0,0,4,0,0,0,,39.63470911979675
43,llama3.3:70b,qwen3:32b,P2,13,135,160,4,4,9,10,3,3,4,4,4,4,0,0,0,0,0,0,0,0,135,160,0,0,0,0,0,0,0,4,0,0,0,,36.412896156311035
44,llama3.3:70b,qwen3:32b,P1,13,120,105,4,3,8,8,0,7,4,3,4,3,0,0,0,0,0,0,0,0,120,105,0,0,0,0,0,0,0,4,0,0,0,,41.76463460922241
45,llama3.3:70b,qwen3:32b,P2,13,130,140,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,4,0,0,0,,40.976879835128784
