match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,65,70,35,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,51.36169147491455
2,llama3.3:70b,qwen3:32b,P1,13,140,115,4,3,9,9,0,6,4,3,4,3,95,40,0,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.700716972351074
3,llama3.3:70b,qwen3:32b,P1,13,125,120,4,3,8,9,0,6,4,3,4,3,65,40,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.80525302886963
4,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,0,6,4,3,4,3,70,35,30,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.34093475341797
5,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,0,6,4,3,4,3,40,65,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.954665184020996
6,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,65,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.77058482170105
7,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,10,9,4,6,4,3,4,3,35,70,95,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.05190992355347
8,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,35,40,60,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,43.38100528717041
9,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,1,6,4,3,4,3,35,40,60,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.0109601020813
10,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,35,70,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.365803718566895
11,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,0,6,4,3,4,3,100,35,0,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,41.061997413635254
12,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,105,30,0,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.849289655685425
13,llama3.3:70b,qwen3:32b,P1,13,140,115,4,3,9,9,0,6,4,3,4,3,95,40,0,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.729811906814575
14,llama3.3:70b,qwen3:32b,P1,13,140,115,4,3,9,9,0,6,4,3,4,3,95,40,0,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.659987449645996
15,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,75,30,30,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.76406121253967
16,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,65,70,35,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.94890284538269
17,llama3.3:70b,qwen3:32b,P1,13,145,140,4,4,9,9,1,5,4,4,4,4,40,65,60,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.45304989814758
18,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,1,6,4,3,4,3,70,65,65,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,41.86030292510986
19,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,1,6,4,3,4,3,75,30,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.1441924571991
20,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,60,75,35,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.10403490066528
21,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,8,9,0,6,4,3,4,3,70,35,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.59680461883545
22,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,30,75,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.063565254211426
23,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,1,6,4,3,4,3,65,70,35,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.971216917037964
24,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,1,6,4,3,4,3,70,35,65,30,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.37507224082947
25,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,0,6,4,3,4,3,70,35,30,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,41.580463886260986
26,llama3.3:70b,qwen3:32b,P2,13,130,190,4,5,8,8,0,0,4,5,4,5,70,65,60,35,0,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,45.72795271873474
27,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,35,40,65,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.836862087249756
28,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,0,6,4,3,4,3,65,40,35,70,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.574071645736694
29,llama3.3:70b,qwen3:32b,P2,13,135,195,4,5,9,9,0,0,4,4,4,4,60,75,30,30,45,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,44.71983766555786
30,llama3.3:70b,qwen3:32b,P1,13,135,120,4,3,9,9,0,6,4,3,4,3,60,75,30,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.78657531738281
31,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,65,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.69664263725281
32,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,0,6,4,3,4,3,75,30,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.84537124633789
33,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,30,75,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.10989308357239
34,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,40,65,65,40,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.04278826713562
35,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,1,6,4,3,4,3,75,30,30,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.316245794296265
36,llama3.3:70b,qwen3:32b,P1,13,140,115,4,3,9,9,0,6,4,3,4,3,65,40,30,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.015034914016724
37,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,0,6,4,3,4,3,70,35,30,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.04069924354553
38,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,8,9,0,6,4,3,4,3,70,35,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.70741891860962
39,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,0,6,4,3,4,3,135,0,0,65,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,41.64994835853577
40,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,8,9,0,6,4,3,4,3,70,35,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.13792681694031
41,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,0,6,4,3,4,3,70,35,30,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.39968657493591
42,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,30,75,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.459372997283936
43,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,1,6,4,3,4,3,105,30,0,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.12443661689758
44,llama3.3:70b,qwen3:32b,P1,13,125,120,4,3,8,9,0,6,4,3,4,3,95,40,30,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.14215016365051
45,llama3.3:70b,qwen3:32b,P1,13,120,120,4,3,8,9,0,6,4,3,4,3,60,75,60,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.58441352844238
46,llama3.3:70b,qwen3:32b,P1,13,150,100,4,3,9,9,0,6,4,3,4,3,105,30,0,70,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.50120306015015
47,llama3.3:70b,qwen3:32b,P1,13,125,120,4,3,8,9,0,6,4,3,4,3,60,75,65,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.653491497039795
48,llama3.3:70b,qwen3:32b,P1,13,185,120,5,3,9,9,0,6,4,3,4,3,30,75,65,0,90,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.93346309661865
49,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,9,9,5,6,4,3,4,3,40,65,95,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.118021726608276
50,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,0,6,4,3,4,3,105,0,30,65,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.19381141662598
51,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,9,9,5,6,4,3,4,3,35,40,95,30,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.24191641807556
52,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,10,9,4,6,4,3,4,3,35,40,95,30,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.683716773986816
53,llama3.3:70b,qwen3:32b,P1,13,110,105,3,3,8,9,7,6,3,3,3,3,75,30,35,30,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,35.728164196014404
54,llama3.3:70b,qwen3:32b,P1,13,135,120,4,3,9,9,0,6,4,3,4,3,60,75,30,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.40378284454346
55,llama3.3:70b,qwen3:32b,P2,13,140,195,4,5,9,9,0,0,4,4,4,4,95,40,0,65,45,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,45.52173042297363
56,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,95,40,0,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.58326196670532
57,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,65,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.275707483291626
58,llama3.3:70b,qwen3:32b,P2,13,145,190,4,5,9,9,0,0,4,4,4,4,70,65,30,35,45,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,46.61664128303528
59,llama3.3:70b,qwen3:32b,P1,13,125,120,4,3,10,9,4,6,4,3,4,3,30,75,95,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,41.45148038864136
60,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,30,75,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.74198842048645
61,llama3.3:70b,qwen3:32b,P1,13,195,110,5,3,9,9,0,6,4,3,4,3,105,0,0,65,90,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,37.99926996231079
62,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,1,6,4,3,4,3,70,35,35,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.18395948410034
63,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,65,40,35,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.207067012786865
64,llama3.3:70b,qwen3:32b,P1,13,155,105,4,3,9,9,2,6,4,3,4,3,75,30,35,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.196484088897705
65,llama3.3:70b,qwen3:32b,P1,13,135,120,4,3,9,9,0,6,4,3,4,3,30,75,60,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.12795639038086
66,llama3.3:70b,qwen3:32b,P2,13,145,190,4,5,9,9,0,0,4,4,4,4,70,35,30,65,45,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,45.15280485153198
67,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,1,6,4,3,4,3,105,30,0,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.29937744140625
68,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,95,40,0,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,44.22607064247131
69,llama3.3:70b,qwen3:32b,P1,13,215,120,6,3,11,9,0,6,5,3,5,3,0,75,125,0,90,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.953025341033936
70,llama3.3:70b,qwen3:32b,P2,13,140,195,4,5,9,9,0,0,4,4,4,4,30,105,65,0,45,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,46.10914158821106
71,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,0,6,4,3,4,3,105,0,30,65,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.291252851486206
72,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,35,40,65,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,43.40851664543152
73,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,0,6,4,3,4,3,70,35,35,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.79138422012329
74,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,105,0,0,60,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.5909161567688
75,llama3.3:70b,qwen3:32b,P1,13,125,120,4,3,8,9,0,6,4,3,4,3,95,40,30,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.10633111000061
76,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,1,6,4,3,4,3,70,35,35,30,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.083481311798096
77,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,1,6,4,3,4,3,75,30,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.427390336990356
78,llama3.3:70b,qwen3:32b,P1,13,140,115,4,3,9,9,0,6,4,3,4,3,65,40,30,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.27254581451416
79,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,65,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.54498839378357
80,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,1,6,4,3,4,3,65,70,35,0,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.6431245803833
81,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,1,6,4,3,4,3,70,35,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.66576910018921
82,llama3.3:70b,qwen3:32b,P1,13,145,110,4,3,9,9,1,6,4,3,4,3,40,35,60,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.329177141189575
83,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,8,9,0,6,4,3,4,3,100,35,30,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.233505964279175
84,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,1,6,4,3,4,3,35,40,60,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.94741177558899
85,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,0,6,4,3,4,3,105,0,30,65,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.19666838645935
86,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,70,35,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.04742646217346
87,llama3.3:70b,qwen3:32b,P1,13,145,115,4,3,9,9,0,6,4,3,4,3,70,35,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.535834074020386
88,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,0,6,4,3,4,3,105,0,0,65,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.75077486038208
89,llama3.3:70b,qwen3:32b,P1,13,150,105,4,3,9,9,0,6,4,3,4,3,105,30,0,75,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.73575282096863
90,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,8,9,0,6,4,3,4,3,105,0,30,65,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.92940068244934
91,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,8,9,0,6,4,3,4,3,100,35,30,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.031697273254395
92,llama3.3:70b,qwen3:32b,P1,13,150,110,4,3,9,9,0,6,4,3,4,3,105,0,0,65,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.448023080825806
93,llama3.3:70b,qwen3:32b,P2,13,140,195,4,5,9,9,0,0,4,4,4,4,60,75,35,30,45,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,44.071200132369995
94,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,10,9,4,6,4,3,4,3,35,70,95,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,38.74378991127014
95,llama3.3:70b,qwen3:32b,P2,13,130,190,4,5,8,9,0,0,4,4,4,4,70,65,60,35,0,90,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,44.15538549423218
96,llama3.3:70b,qwen3:32b,P1,13,195,110,5,3,9,9,0,6,4,3,4,3,70,35,35,30,90,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.798420667648315
97,llama3.3:70b,qwen3:32b,P1,13,130,115,4,3,8,9,0,6,4,3,4,3,70,35,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.50739097595215
98,llama3.3:70b,qwen3:32b,P1,13,140,120,4,3,9,9,0,6,4,3,4,3,65,40,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,40.13848519325256
99,llama3.3:70b,qwen3:32b,P1,13,140,115,4,3,9,9,0,6,4,3,4,3,30,75,65,40,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.34998846054077
100,llama3.3:70b,qwen3:32b,P1,13,135,110,4,3,9,9,5,6,4,3,4,3,40,65,95,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,39.491530656814575
