match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,qwen3:32b,mixtral:latest,P1,13,140,105,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,105,0,0,0,0,0,0,0,4,0,0,0,,36.20587372779846
2,qwen3:32b,mixtral:latest,P2,13,110,140,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,140,0,0,0,0,0,0,0,4,0,0,0,,17.185709953308105
3,qwen3:32b,mixtral:latest,P2,13,105,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,110,0,0,0,0,0,0,0,4,0,0,0,,16.21550464630127
4,qwen3:32b,mixtral:latest,P2,13,100,115,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,100,115,0,0,0,0,0,0,1,4,0,0,0,,17.815457820892334
5,qwen3:32b,mixtral:latest,P1,13,140,30,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,140,30,0,0,0,0,0,0,0,1,0,0,0,,16.442475080490112
6,qwen3:32b,mixtral:latest,P1,13,110,100,3,3,9,8,6,7,3,3,3,3,0,0,0,0,0,0,0,0,110,100,0,0,0,0,0,0,0,3,0,0,0,,15.477173089981079
7,qwen3:32b,mixtral:latest,P1,13,140,140,4,4,9,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,140,140,0,0,0,0,0,0,0,4,0,0,0,,17.795991897583008
8,qwen3:32b,mixtral:latest,P1,13,140,110,4,3,9,8,0,7,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,3,0,0,0,,19.035346746444702
9,qwen3:32b,mixtral:latest,P1,13,95,35,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,95,35,0,0,0,0,0,0,0,1,0,0,0,,12.132639169692993
10,qwen3:32b,mixtral:latest,P1,13,140,110,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,4,0,0,0,,19.501415252685547
11,qwen3:32b,mixtral:latest,P1,13,125,35,4,1,8,4,4,13,4,1,4,1,0,0,0,0,0,0,0,0,125,35,0,0,0,0,0,0,0,1,0,0,0,,11.0959632396698
12,qwen3:32b,mixtral:latest,P1,13,145,105,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,0,4,0,0,0,,17.588526010513306
13,qwen3:32b,mixtral:latest,P1,13,110,100,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,100,0,0,0,0,0,0,0,4,0,0,0,,17.43478775024414
14,qwen3:32b,mixtral:latest,P1,13,105,100,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,100,0,0,0,0,0,0,0,4,0,0,0,,16.01544189453125
15,qwen3:32b,mixtral:latest,P1,13,140,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,4,0,0,0,,16.229485034942627
16,qwen3:32b,mixtral:latest,P1,13,155,105,4,3,10,9,3,6,4,3,4,3,0,0,0,0,0,0,0,0,155,105,0,0,0,0,0,0,0,4,0,0,0,,17.25804615020752
17,qwen3:32b,mixtral:latest,P1,13,145,105,4,3,9,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,0,4,0,0,0,,19.70175790786743
18,qwen3:32b,mixtral:latest,P2,13,90,115,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,90,115,0,0,0,0,0,0,0,4,0,0,0,,18.05980157852173
19,qwen3:32b,mixtral:latest,P1,13,115,100,3,3,9,8,6,7,3,3,3,3,0,0,0,0,0,0,0,0,115,100,0,0,0,0,0,0,0,4,0,0,0,,18.49164366722107
20,qwen3:32b,mixtral:latest,P2,13,110,155,3,4,9,10,6,4,3,4,3,4,0,0,0,0,0,0,0,0,110,155,0,0,0,0,0,0,0,4,0,0,0,,16.938964366912842
21,qwen3:32b,mixtral:latest,P2,13,105,115,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,105,115,0,0,0,0,0,0,0,4,0,0,0,,20.680330514907837
22,qwen3:32b,mixtral:latest,P1,13,140,110,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,4,0,0,0,,16.2543044090271
23,qwen3:32b,mixtral:latest,P1,13,115,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,105,0,0,0,0,0,0,0,4,0,0,0,,17.23995304107666
24,qwen3:32b,mixtral:latest,P1,13,130,115,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,130,115,0,0,0,0,0,0,0,4,0,0,0,,19.277708053588867
25,qwen3:32b,mixtral:latest,P1,13,145,105,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,0,4,0,0,0,,20.163259029388428
26,qwen3:32b,mixtral:latest,P1,13,145,100,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,145,100,0,0,0,0,0,0,0,4,0,0,0,,18.465598106384277
27,qwen3:32b,mixtral:latest,P1,13,95,35,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,95,35,0,0,0,0,0,0,1,1,0,0,0,,14.710323572158813
28,qwen3:32b,mixtral:latest,P1,13,140,110,4,3,9,9,5,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,3,0,0,0,,17.772794008255005
29,qwen3:32b,mixtral:latest,P2,13,100,140,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,100,140,0,0,0,0,0,0,1,4,0,0,0,,15.574997901916504
30,qwen3:32b,mixtral:latest,P2,13,100,105,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,100,105,0,0,0,0,0,0,0,4,0,0,0,,17.894741535186768
31,qwen3:32b,mixtral:latest,P2,13,105,115,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,115,0,0,0,0,0,0,0,4,0,0,0,,18.539337396621704
32,qwen3:32b,mixtral:latest,P2,13,130,150,4,4,8,9,1,2,4,4,4,4,0,0,0,0,0,0,0,0,130,150,0,0,0,0,0,0,0,5,0,0,0,,18.52755618095398
33,qwen3:32b,mixtral:latest,P1,13,110,100,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,110,100,0,0,0,0,0,0,0,4,0,0,0,,15.701938152313232
34,qwen3:32b,mixtral:latest,P1,13,140,110,4,3,9,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,4,0,0,0,,19.740744590759277
35,qwen3:32b,mixtral:latest,P1,13,135,30,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,135,30,0,0,0,0,0,0,0,1,0,0,0,,13.492933511734009
36,qwen3:32b,mixtral:latest,P1,13,140,110,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,4,0,0,0,,19.7230486869812
37,qwen3:32b,mixtral:latest,P1,13,140,100,4,3,8,8,0,7,4,3,4,3,0,0,0,0,0,0,0,0,140,100,0,0,0,0,0,0,0,3,0,0,0,,16.54203772544861
38,qwen3:32b,mixtral:latest,P1,13,130,30,4,1,8,4,6,13,4,1,4,1,0,0,0,0,0,0,0,0,130,30,0,0,0,0,0,0,0,1,0,0,0,,11.660154581069946
39,qwen3:32b,mixtral:latest,P1,13,145,100,4,3,8,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,145,100,0,0,0,0,0,0,0,4,0,0,0,,20.427606105804443
40,qwen3:32b,mixtral:latest,P1,13,145,105,4,3,9,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,1,4,0,0,0,,20.351545095443726
41,qwen3:32b,mixtral:latest,P2,13,110,135,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,135,0,0,0,0,0,0,0,4,0,0,0,,16.338255882263184
42,qwen3:32b,mixtral:latest,P1,13,135,30,4,1,8,4,6,13,4,1,4,1,0,0,0,0,0,0,0,0,135,30,0,0,0,0,0,0,0,1,0,0,0,,11.91554880142212
43,qwen3:32b,mixtral:latest,P2,13,100,100,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,4,0,0,0,,16.4527268409729
44,qwen3:32b,mixtral:latest,P1,13,105,100,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,105,100,0,0,0,0,0,0,0,4,0,0,0,,17.96522307395935
45,qwen3:32b,mixtral:latest,P1,13,135,105,4,3,9,8,0,7,4,3,4,3,0,0,0,0,0,0,0,0,135,105,0,0,0,0,0,0,0,4,0,0,0,,20.981534004211426
46,qwen3:32b,mixtral:latest,P1,13,140,110,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,0,4,0,0,0,,19.2688090801239
47,qwen3:32b,mixtral:latest,P1,13,135,35,4,1,9,4,0,13,4,1,4,1,0,0,0,0,0,0,0,0,135,35,0,0,0,0,0,0,0,1,0,0,0,,14.728733777999878
48,qwen3:32b,mixtral:latest,P1,13,145,105,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,0,4,0,0,0,,18.287429332733154
49,qwen3:32b,mixtral:latest,P1,13,140,70,4,2,9,6,0,10,4,2,4,2,0,0,0,0,0,0,0,0,140,70,0,0,0,0,0,0,0,2,0,0,0,,16.681941747665405
50,qwen3:32b,mixtral:latest,P1,13,110,100,3,3,9,8,6,7,3,3,3,3,0,0,0,0,0,0,0,0,110,100,0,0,0,0,0,0,0,3,0,0,0,,15.780720949172974
51,qwen3:32b,mixtral:latest,P2,13,110,135,3,4,9,8,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,135,0,0,0,0,0,0,0,4,0,0,0,,17.74048900604248
52,qwen3:32b,mixtral:latest,P1,13,145,135,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,145,135,0,0,0,0,0,0,0,4,0,0,0,,20.92650866508484
53,qwen3:32b,mixtral:latest,P1,13,145,105,4,3,10,8,4,7,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,0,4,0,0,0,,16.147095203399658
54,qwen3:32b,mixtral:latest,P2,13,100,145,3,4,8,9,7,5,3,4,3,4,0,0,0,0,0,0,0,0,100,145,0,0,0,0,0,0,0,3,0,0,0,,16.115456581115723
