match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,qwen3:32b,mixtral:latest,P1,13,155,30,4,1,9,4,1,13,4,1,4,1,75,30,35,0,45,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,35.44452357292175
2,qwen3:32b,mixtral:latest,P1,13,145,35,4,1,9,4,0,13,4,1,4,1,70,35,30,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.458402395248413
3,qwen3:32b,mixtral:latest,P1,13,150,30,4,1,9,4,0,13,4,1,4,1,105,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.597827196121216
4,qwen3:32b,mixtral:latest,P1,13,140,70,4,2,9,6,0,10,4,2,4,2,35,70,60,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.78443741798401
5,qwen3:32b,mixtral:latest,P1,13,110,30,3,1,8,4,7,13,3,1,3,1,75,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,23.243120670318604
6,qwen3:32b,mixtral:latest,P1,13,100,40,3,1,9,4,6,13,3,1,3,1,35,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,23.051852226257324
7,qwen3:32b,mixtral:latest,P1,13,145,35,4,1,9,4,0,13,4,1,4,1,40,35,60,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.110111236572266
8,qwen3:32b,mixtral:latest,P1,13,140,40,4,1,9,4,0,13,4,1,4,1,30,40,65,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.452306985855103
9,qwen3:32b,mixtral:latest,P1,13,110,30,3,1,8,4,7,13,3,1,3,1,75,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,22.329771518707275
10,qwen3:32b,mixtral:latest,P1,13,170,40,5,1,10,4,0,13,5,1,5,1,30,40,95,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.57260274887085
11,qwen3:32b,mixtral:latest,P1,13,145,30,4,1,9,4,0,13,4,1,4,1,100,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.42935013771057
12,qwen3:32b,mixtral:latest,P1,13,145,40,4,1,9,4,0,13,4,1,4,1,65,40,35,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.318474054336548
13,qwen3:32b,mixtral:latest,P1,13,115,65,3,2,9,6,6,10,3,2,3,2,40,35,30,30,45,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,,25.17852210998535
14,qwen3:32b,mixtral:latest,P1,13,145,30,4,1,9,4,0,13,4,1,4,1,40,0,60,30,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.352840662002563
15,qwen3:32b,mixtral:latest,P1,13,145,30,4,1,9,4,0,13,4,1,4,1,75,0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,27.16062331199646
16,qwen3:32b,mixtral:latest,P1,13,115,110,3,3,9,9,6,6,3,3,3,3,75,0,40,65,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,28.88007402420044
17,qwen3:32b,mixtral:latest,P1,13,110,30,3,1,8,4,7,13,3,1,3,1,75,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,23.18623971939087
18,qwen3:32b,mixtral:latest,P2,13,105,165,3,4,9,10,6,2,3,4,3,4,30,75,30,0,45,90,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,,27.640334606170654
19,qwen3:32b,mixtral:latest,P1,13,140,35,4,1,9,4,0,13,4,1,4,1,35,0,60,35,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.474337577819824
20,qwen3:32b,mixtral:latest,P1,13,140,40,4,1,9,4,0,13,4,1,4,1,30,40,65,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.41865086555481
21,qwen3:32b,mixtral:latest,P1,13,155,30,4,1,9,4,1,13,4,1,4,1,75,30,35,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,27.93750834465027
22,qwen3:32b,mixtral:latest,P1,13,145,30,4,1,10,4,4,13,4,1,4,1,40,0,105,30,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.5268816947937
23,qwen3:32b,mixtral:latest,P1,13,130,40,4,1,9,4,0,13,4,1,4,1,60,40,70,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.47801899909973
24,qwen3:32b,mixtral:latest,P1,13,110,30,3,1,8,4,7,13,3,1,3,1,75,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,23.51235580444336
25,qwen3:32b,mixtral:latest,P1,13,150,30,4,1,9,4,0,13,4,1,4,1,105,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.458441972732544
26,qwen3:32b,mixtral:latest,P1,13,110,30,3,1,8,4,7,13,3,1,3,1,75,30,35,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,22.13555121421814
27,qwen3:32b,mixtral:latest,P1,13,145,40,4,1,9,4,0,13,4,1,4,1,65,40,35,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.201945304870605
28,qwen3:32b,mixtral:latest,P1,13,110,30,3,1,8,4,7,13,3,1,3,1,75,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,23.424505949020386
29,qwen3:32b,mixtral:latest,P1,13,150,60,4,2,9,6,0,10,4,2,4,2,75,30,30,30,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,29.2583110332489
30,qwen3:32b,mixtral:latest,P1,13,195,35,5,1,9,4,0,13,5,1,5,1,70,35,35,0,90,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.441608905792236
31,qwen3:32b,mixtral:latest,P1,13,140,35,4,1,9,4,0,13,4,1,4,1,70,35,70,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.42396855354309
32,qwen3:32b,mixtral:latest,P1,13,140,40,4,1,10,4,4,13,4,1,4,1,35,40,105,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.47560429573059
33,qwen3:32b,mixtral:latest,P1,13,150,30,4,1,9,4,0,13,4,1,4,1,105,0,0,30,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.48623752593994
34,qwen3:32b,mixtral:latest,P1,13,145,40,4,1,9,4,4,13,4,1,4,1,35,40,65,0,45,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,22.547872304916382
35,qwen3:32b,mixtral:latest,P1,13,140,30,4,1,9,4,0,13,4,1,4,1,70,0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.62241506576538
36,qwen3:32b,mixtral:latest,P1,13,150,35,4,1,9,4,1,13,4,1,4,1,70,35,35,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.021182775497437
37,qwen3:32b,mixtral:latest,P1,13,115,70,3,2,9,6,6,10,3,2,3,2,70,35,0,35,45,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,,25.52888774871826
38,qwen3:32b,mixtral:latest,P1,13,140,40,4,1,10,4,4,13,4,1,4,1,0,40,95,0,45,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,,28.120693683624268
