match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,llama3.3:70b,llama3.3:70b,P1,13,135,125,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,135,125,0,0,0,0,0,0,0,0,0,0,0,,49.313873291015625
2,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,40.91316843032837
3,llama3.3:70b,llama3.3:70b,P2,13,100,130,3,4,8,8,7,0,3,4,3,4,0,0,0,0,0,0,0,0,100,130,0,0,0,0,0,0,0,0,0,0,0,,35.83355236053467
4,llama3.3:70b,llama3.3:70b,P1,13,175,100,5,3,11,8,1,7,5,3,5,3,0,0,0,0,0,0,0,0,175,100,0,0,0,0,0,0,0,0,0,0,0,,36.68494200706482
5,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,10,8,4,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,41.69758868217468
6,llama3.3:70b,llama3.3:70b,P1,13,135,130,4,4,9,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,135,130,0,0,0,0,0,0,0,0,0,0,0,,39.46547079086304
7,llama3.3:70b,llama3.3:70b,P2,13,125,140,4,4,8,9,0,2,4,4,4,4,0,0,0,0,0,0,0,0,125,140,0,0,0,0,0,0,0,0,0,0,0,,38.34978199005127
8,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,9,8,5,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,42.96533417701721
9,llama3.3:70b,llama3.3:70b,P1,13,130,130,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,,39.230616331100464
10,llama3.3:70b,llama3.3:70b,P2,13,125,135,4,4,8,9,0,2,4,4,4,4,0,0,0,0,0,0,0,0,125,135,0,0,0,0,0,0,0,0,0,0,0,,39.7435998916626
11,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,38.63075804710388
12,llama3.3:70b,llama3.3:70b,P1,13,130,130,4,4,9,8,1,4,4,4,4,4,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,,36.51869535446167
13,llama3.3:70b,llama3.3:70b,P2,13,90,130,3,4,8,8,7,0,3,4,3,4,0,0,0,0,0,0,0,0,90,130,0,0,0,0,0,0,0,0,0,0,0,,40.41824388504028
14,llama3.3:70b,llama3.3:70b,P2,13,125,135,4,4,8,9,0,1,4,4,4,4,0,0,0,0,0,0,0,0,125,135,0,0,0,0,0,0,0,0,0,0,0,,38.699188470840454
15,llama3.3:70b,llama3.3:70b,P1,13,135,130,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,135,130,0,0,0,0,0,0,0,0,0,0,0,,40.11723732948303
16,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,40.91438031196594
17,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,40.16756010055542
18,llama3.3:70b,llama3.3:70b,P2,13,120,140,4,4,8,9,0,2,4,4,4,4,0,0,0,0,0,0,0,0,120,140,0,0,0,0,0,0,0,0,0,0,0,,39.34507989883423
19,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,3,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,38.73027491569519
20,llama3.3:70b,llama3.3:70b,P1,13,125,100,4,3,8,8,0,7,4,3,4,3,0,0,0,0,0,0,0,0,125,100,0,0,0,0,0,0,0,0,0,0,0,,35.66713619232178
21,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,42.87193298339844
22,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,9,8,5,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,39.27575159072876
23,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,1,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,41.72454762458801
24,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,38.75995397567749
25,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,39.55957627296448
26,llama3.3:70b,llama3.3:70b,P2,13,130,130,4,4,8,9,1,1,4,4,4,4,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,,39.62378168106079
27,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,1,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,39.76904296875
28,llama3.3:70b,llama3.3:70b,P1,13,130,130,4,4,9,8,0,1,4,4,4,4,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,,39.383179664611816
29,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,5,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,34.64682960510254
30,llama3.3:70b,llama3.3:70b,P1,13,140,125,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,140,125,0,0,0,0,0,0,0,0,0,0,0,,40.889331102371216
31,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,39.42359495162964
32,llama3.3:70b,llama3.3:70b,P2,13,130,140,4,4,8,9,0,1,4,4,4,4,0,0,0,0,0,0,0,0,130,140,0,0,0,0,0,0,0,0,0,0,0,,40.581284284591675
33,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,40.83165502548218
34,llama3.3:70b,llama3.3:70b,P2,13,125,135,4,4,8,9,0,2,4,4,4,4,0,0,0,0,0,0,0,0,125,135,0,0,0,0,0,0,0,0,0,0,0,,40.37731456756592
35,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,4,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,36.21855092048645
36,llama3.3:70b,llama3.3:70b,P2,13,130,130,4,4,8,9,0,1,4,4,4,4,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,,43.7111074924469
37,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,43.58701777458191
38,llama3.3:70b,llama3.3:70b,P1,13,130,130,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,,39.993762254714966
39,llama3.3:70b,llama3.3:70b,P2,13,95,130,3,4,8,8,7,1,3,4,3,4,0,0,0,0,0,0,0,0,95,130,0,0,0,0,0,0,0,0,0,0,0,,35.88654541969299
40,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,40.0678825378418
41,llama3.3:70b,llama3.3:70b,P2,13,135,140,4,4,9,9,2,0,4,4,4,4,0,0,0,0,0,0,0,0,135,140,0,0,0,0,0,0,0,0,0,0,0,,39.47459268569946
42,llama3.3:70b,llama3.3:70b,P2,13,125,135,4,4,8,9,0,2,4,4,4,4,0,0,0,0,0,0,0,0,125,135,0,0,0,0,0,0,0,0,0,0,0,,39.68509554862976
43,llama3.3:70b,llama3.3:70b,P1,13,135,130,4,4,9,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,135,130,0,0,0,0,0,0,0,0,0,0,0,,38.01784539222717
44,llama3.3:70b,llama3.3:70b,P1,13,135,120,4,4,8,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,135,120,0,0,0,0,0,0,0,0,0,0,0,,40.05682373046875
45,llama3.3:70b,llama3.3:70b,P2,13,125,135,4,4,8,9,0,1,4,4,4,4,0,0,0,0,0,0,0,0,125,135,0,0,0,0,0,0,0,0,0,0,0,,42.639960527420044
46,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,1,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,39.66374087333679
47,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,36.61688709259033
48,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,38.652506828308105
49,llama3.3:70b,llama3.3:70b,P1,13,130,90,4,3,9,8,5,7,4,3,4,3,0,0,0,0,0,0,0,0,130,90,0,0,0,0,0,0,0,0,0,0,0,,35.912492752075195
50,llama3.3:70b,llama3.3:70b,P2,13,95,130,3,4,8,8,7,0,3,4,3,4,0,0,0,0,0,0,0,0,95,130,0,0,0,0,0,0,0,0,0,0,0,,35.29972863197327
51,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,2,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,39.93111181259155
52,llama3.3:70b,llama3.3:70b,P2,13,125,135,4,4,8,9,0,1,4,4,4,4,0,0,0,0,0,0,0,0,125,135,0,0,0,0,0,0,0,0,0,0,0,,41.37352466583252
53,llama3.3:70b,llama3.3:70b,P2,13,95,130,3,4,8,9,7,5,3,4,3,4,0,0,0,0,0,0,0,0,95,130,0,0,0,0,0,0,0,0,0,0,0,,34.686705350875854
54,llama3.3:70b,llama3.3:70b,P1,13,130,125,4,4,8,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,130,125,0,0,0,0,0,0,0,0,0,0,0,,39.927712202072144
55,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,38.51224899291992
56,llama3.3:70b,llama3.3:70b,P2,13,130,130,4,4,8,9,4,0,4,4,4,4,0,0,0,0,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,,36.57727408409119
57,llama3.3:70b,llama3.3:70b,P2,13,90,110,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,90,110,0,0,0,0,0,0,0,0,0,0,0,,30.707248210906982
58,llama3.3:70b,llama3.3:70b,P1,13,135,120,4,4,8,8,1,0,4,4,4,4,0,0,0,0,0,0,0,0,135,120,0,0,0,0,0,0,0,0,0,0,0,,41.18051886558533
59,llama3.3:70b,llama3.3:70b,P2,13,125,130,4,4,8,8,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,130,0,0,0,0,0,0,0,0,0,0,0,,40.790262937545776
60,llama3.3:70b,llama3.3:70b,P2,13,125,140,4,4,8,9,0,0,4,4,4,4,0,0,0,0,0,0,0,0,125,140,0,0,0,0,0,0,0,0,0,0,0,,39.08679819107056
61,llama3.3:70b,llama3.3:70b,P1,13,135,90,4,3,8,8,1,7,4,3,4,3,0,0,0,0,0,0,0,0,135,90,0,0,0,0,0,0,0,0,0,0,0,,38.629629611968994
