match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,llama3.3:70b,llama3.3:70b,P1,13,140,135,4,4,9,8,0,0,4,4,4,4,30,105,65,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50.32565474510193
2,llama3.3:70b,llama3.3:70b,P1,13,140,135,4,4,9,8,0,0,4,4,4,4,65,70,30,65,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.85660791397095
3,llama3.3:70b,llama3.3:70b,P1,13,145,130,4,4,9,8,0,0,4,4,4,4,65,70,35,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.36775040626526
4,llama3.3:70b,llama3.3:70b,P2,13,145,190,4,5,9,9,0,0,4,4,4,4,65,70,35,30,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.6140456199646
5,llama3.3:70b,llama3.3:70b,P2,13,125,150,4,4,10,9,4,0,4,4,4,4,30,105,95,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.92219567298889
6,llama3.3:70b,llama3.3:70b,P2,13,145,190,4,5,9,9,0,0,4,4,4,4,35,100,65,0,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41.073326110839844
7,llama3.3:70b,llama3.3:70b,P2,13,130,140,4,4,9,9,5,0,4,4,4,4,40,95,90,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,45.81606483459473
8,llama3.3:70b,llama3.3:70b,Draw,13,130,130,4,4,8,8,0,0,4,4,4,4,70,65,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.57106947898865
9,llama3.3:70b,llama3.3:70b,P1,13,150,140,4,4,9,9,0,0,4,4,4,4,105,30,0,65,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,43.16809916496277
10,llama3.3:70b,llama3.3:70b,P2,13,125,150,4,4,8,9,0,0,4,4,4,4,65,70,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.97080945968628
11,llama3.3:70b,llama3.3:70b,P2,13,140,150,4,4,9,9,0,1,4,4,4,4,30,105,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.41998243331909
12,llama3.3:70b,llama3.3:70b,P2,13,140,150,4,4,9,9,0,1,4,4,4,4,65,70,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.100569009780884
13,llama3.3:70b,llama3.3:70b,P1,13,140,135,4,4,9,8,0,0,4,4,4,4,35,100,60,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.21589660644531
14,llama3.3:70b,llama3.3:70b,P1,13,120,110,4,3,8,8,0,7,4,3,4,3,60,75,60,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37.235008001327515
15,llama3.3:70b,llama3.3:70b,P1,13,145,140,4,4,9,9,0,0,4,4,4,4,40,95,60,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.74041199684143
16,llama3.3:70b,llama3.3:70b,P1,13,190,145,5,4,9,9,0,1,5,4,5,4,70,65,30,35,90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37.99785232543945
17,llama3.3:70b,llama3.3:70b,P1,13,145,130,4,4,9,8,0,0,4,4,4,4,65,70,35,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36.40030574798584
18,llama3.3:70b,llama3.3:70b,P2,13,140,195,4,5,9,9,0,0,4,4,4,4,95,40,0,65,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36.78697991371155
19,llama3.3:70b,llama3.3:70b,P2,13,145,190,4,5,9,9,0,0,4,4,4,4,65,70,35,30,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.293763160705566
20,llama3.3:70b,llama3.3:70b,P1,13,150,140,4,4,9,9,1,0,4,4,4,4,105,30,0,65,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.77275848388672
21,llama3.3:70b,llama3.3:70b,P1,13,150,125,4,4,9,10,1,4,4,4,4,4,105,30,0,95,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.949962854385376
22,llama3.3:70b,llama3.3:70b,P2,13,140,150,4,4,9,9,0,0,4,4,4,4,30,105,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.690603256225586
23,llama3.3:70b,llama3.3:70b,P2,13,125,150,4,4,8,9,0,1,4,4,4,4,65,70,60,35,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37.5912663936615
24,llama3.3:70b,llama3.3:70b,P2,13,135,140,4,4,8,9,0,0,4,4,4,4,70,65,65,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37.9095504283905
25,llama3.3:70b,llama3.3:70b,P2,13,135,195,4,5,9,9,0,0,4,4,4,4,60,75,30,30,45,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.15884590148926
26,llama3.3:70b,llama3.3:70b,P1,13,150,140,4,4,9,9,1,0,4,4,4,4,105,30,0,65,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.80049395561218
27,llama3.3:70b,llama3.3:70b,P1,13,140,135,4,4,9,8,1,0,4,4,4,4,30,105,65,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.14399266242981
28,llama3.3:70b,llama3.3:70b,P2,13,135,140,4,4,8,9,0,0,4,4,4,4,70,65,65,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.2978253364563
29,llama3.3:70b,llama3.3:70b,P2,13,105,125,3,4,8,8,7,0,3,4,3,4,40,95,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,36.0804226398468
30,llama3.3:70b,llama3.3:70b,P1,13,185,135,5,4,9,8,0,1,5,4,5,4,60,75,35,60,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.32840919494629
31,llama3.3:70b,llama3.3:70b,P1,13,145,130,4,4,9,8,1,0,4,4,4,4,35,100,65,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.48054027557373
32,llama3.3:70b,llama3.3:70b,P2,13,135,140,4,4,10,9,4,0,4,4,4,4,40,95,95,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40.75142693519592
33,llama3.3:70b,llama3.3:70b,P2,13,140,150,4,4,9,9,0,0,4,4,4,4,65,70,30,35,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.880597829818726
34,llama3.3:70b,llama3.3:70b,Draw,13,145,145,4,4,9,9,0,0,4,4,4,4,35,100,65,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37.871830701828
35,llama3.3:70b,llama3.3:70b,P1,13,140,135,4,4,8,9,1,0,4,4,4,4,75,60,65,30,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.43575429916382
36,llama3.3:70b,llama3.3:70b,P2,13,135,140,4,4,9,8,0,0,4,4,4,4,30,105,60,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42.90527939796448
37,llama3.3:70b,llama3.3:70b,P1,13,140,135,4,4,9,8,0,0,4,4,4,4,30,105,65,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.7143988609314
38,llama3.3:70b,llama3.3:70b,P1,13,195,135,5,4,9,9,0,0,4,4,4,4,105,30,0,60,90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41.72177028656006
39,llama3.3:70b,llama3.3:70b,P1,13,140,135,4,4,9,8,0,0,4,4,4,4,30,105,65,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38.50830674171448
40,llama3.3:70b,llama3.3:70b,P1,13,140,135,4,4,9,8,0,0,4,4,4,4,60,75,35,60,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.39695620536804
41,llama3.3:70b,llama3.3:70b,P2,13,125,135,4,4,8,10,0,4,4,4,4,4,95,40,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41.94361710548401
42,llama3.3:70b,llama3.3:70b,P1,13,135,105,4,3,9,8,0,7,4,3,4,3,60,75,30,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,34.20395278930664
43,llama3.3:70b,llama3.3:70b,P1,13,145,130,4,4,9,8,0,0,4,4,4,4,35,100,65,30,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,41.19732999801636
44,llama3.3:70b,llama3.3:70b,P2,13,130,145,4,4,8,9,0,0,4,4,4,4,95,40,35,60,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,37.52102589607239
