match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,mixtral:latest,mixtral:latest,P1,13,95,30,3,1,8,4,7,13,3,1,3,1,0,0,0,0,0,0,0,0,95,30,0,0,0,0,0,0,4,1,0,0,0,,16.02149510383606
2,mixtral:latest,mixtral:latest,P1,13,95,70,3,2,8,6,7,10,3,2,3,2,0,0,0,0,0,0,0,0,95,70,0,0,0,0,0,0,3,2,0,0,0,,10.65969204902649
3,mixtral:latest,mixtral:latest,P1,13,150,105,4,3,10,9,2,6,4,3,4,3,0,0,0,0,0,0,0,0,150,105,0,0,0,0,0,0,4,4,0,0,0,,14.56329083442688
4,mixtral:latest,mixtral:latest,P2,13,105,155,3,4,9,10,6,2,3,4,3,4,0,0,0,0,0,0,0,0,105,155,0,0,0,0,0,0,4,3,0,0,0,,14.932518243789673
5,mixtral:latest,mixtral:latest,P2,13,100,110,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,100,110,0,0,0,0,0,0,4,4,0,0,0,,15.800057888031006
6,mixtral:latest,mixtral:latest,P2,13,65,145,2,4,6,9,10,3,2,4,2,4,0,0,0,0,0,0,0,0,65,145,0,0,0,0,0,0,2,3,0,0,0,,12.079362630844116
7,mixtral:latest,mixtral:latest,P1,13,115,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,105,0,0,0,0,0,0,4,4,0,0,0,,14.441537141799927
8,mixtral:latest,mixtral:latest,P1,13,115,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,105,0,0,0,0,0,0,4,4,0,0,0,,16.137504816055298
9,mixtral:latest,mixtral:latest,P1,13,140,110,4,3,8,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,140,110,0,0,0,0,0,0,3,4,0,0,0,,15.03129506111145
10,mixtral:latest,mixtral:latest,P2,13,30,150,1,4,4,10,13,2,1,4,1,4,0,0,0,0,0,0,0,0,30,150,0,0,0,0,0,0,1,4,0,0,0,,11.125773906707764
11,mixtral:latest,mixtral:latest,P1,13,65,35,2,1,6,4,10,13,2,1,2,1,0,0,0,0,0,0,0,0,65,35,0,0,0,0,0,0,2,1,0,0,0,,7.257132291793823
12,mixtral:latest,mixtral:latest,P1,13,115,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,115,105,0,0,0,0,0,0,4,4,0,0,0,,15.758205652236938
