match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,mixtral:latest,mixtral:latest,P2,13,70,110,2,3,6,9,10,6,2,3,2,3,40,65,30,0,0,45,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,,21.914265155792236
2,mixtral:latest,mixtral:latest,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,40,35,30,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,14.498751878738403
3,mixtral:latest,mixtral:latest,P2,13,70,140,2,4,6,8,10,5,2,4,2,4,40,65,30,30,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,6.479862213134766
4,mixtral:latest,mixtral:latest,P2,13,75,90,2,3,6,8,10,7,2,3,2,3,40,30,35,60,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,,8.875221014022827
5,mixtral:latest,mixtral:latest,P1,13,35,30,1,1,4,4,13,13,1,1,1,1,0,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,4.794914484024048
6,mixtral:latest,mixtral:latest,P2,13,65,70,2,2,6,6,10,10,2,2,2,2,35,40,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,7.865400552749634
7,mixtral:latest,mixtral:latest,P1,13,75,30,2,1,6,4,10,13,2,1,2,1,40,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,6.780642509460449
8,mixtral:latest,mixtral:latest,P2,13,60,105,2,3,6,9,10,6,2,3,2,3,30,75,30,30,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,9.066393375396729
9,mixtral:latest,mixtral:latest,P2,13,70,160,2,4,6,10,10,2,2,4,2,4,40,35,30,35,0,90,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,,11.044411182403564
10,mixtral:latest,mixtral:latest,P2,13,65,70,2,2,6,6,10,10,2,2,2,2,35,40,30,30,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,,7.961553573608398
11,mixtral:latest,mixtral:latest,P2,13,35,70,1,2,4,6,13,10,1,2,1,2,35,40,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,5.424399375915527
12,mixtral:latest,mixtral:latest,Draw,13,30,30,1,1,4,4,13,13,1,1,1,1,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,5.894392728805542
13,mixtral:latest,mixtral:latest,P1,13,105,30,3,1,8,4,7,13,3,1,3,1,70,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,7.872572898864746
14,mixtral:latest,mixtral:latest,P1,13,100,35,3,1,7,4,8,13,3,1,3,1,70,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,6.266434907913208
15,mixtral:latest,mixtral:latest,P1,13,75,65,2,2,6,6,10,10,2,2,2,2,75,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,,8.53313398361206
16,mixtral:latest,mixtral:latest,P1,13,65,40,2,1,6,4,10,13,2,1,2,1,30,40,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,6.829221725463867
