match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,qwen3:32b,qwen3:32b,P2,13,100,105,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,100,105,0,0,0,0,0,0,1,0,0,0,0,,23.615822792053223
2,qwen3:32b,qwen3:32b,P1,13,140,105,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,140,105,0,0,0,0,0,0,1,1,0,0,0,,25.723968029022217
3,qwen3:32b,qwen3:32b,P2,13,105,140,3,4,9,9,6,1,3,4,3,4,0,0,0,0,0,0,0,0,105,140,0,0,0,0,0,0,0,0,0,0,0,,24.516566038131714
4,qwen3:32b,qwen3:32b,Draw,13,105,105,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,0,,18.68429970741272
5,qwen3:32b,qwen3:32b,P1,13,145,130,4,4,10,8,4,0,4,4,4,4,0,0,0,0,0,0,0,0,145,130,0,0,0,0,0,0,0,0,0,0,0,,19.503404140472412
6,qwen3:32b,qwen3:32b,P2,13,105,140,3,4,9,9,6,0,3,4,3,4,0,0,0,0,0,0,0,0,105,140,0,0,0,0,0,0,0,0,0,0,0,,21.4833025932312
7,qwen3:32b,qwen3:32b,P2,13,95,145,3,4,9,9,6,2,3,4,3,4,0,0,0,0,0,0,0,0,95,145,0,0,0,0,0,0,0,0,0,0,0,,24.44207000732422
8,qwen3:32b,qwen3:32b,P2,13,110,145,3,4,9,9,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,145,0,0,0,0,0,0,0,0,0,0,0,,21.151803970336914
9,qwen3:32b,qwen3:32b,P2,13,100,110,3,3,9,9,6,6,3,3,3,3,0,0,0,0,0,0,0,0,100,110,0,0,0,0,0,0,0,0,0,0,0,,21.975303411483765
10,qwen3:32b,qwen3:32b,P1,13,115,95,3,3,9,8,6,7,3,3,3,3,0,0,0,0,0,0,0,0,115,95,0,0,0,0,0,0,0,0,0,0,0,,23.032937049865723
11,qwen3:32b,qwen3:32b,P1,13,145,110,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,145,110,0,0,0,0,0,0,0,0,0,0,0,,21.456860542297363
12,qwen3:32b,qwen3:32b,P2,13,110,140,3,4,9,9,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,140,0,0,0,0,0,0,0,0,0,0,0,,20.5889151096344
13,qwen3:32b,qwen3:32b,P1,13,145,95,4,3,9,8,0,7,4,3,4,3,0,0,0,0,0,0,0,0,145,95,0,0,0,0,0,0,1,0,0,0,0,,23.674280166625977
14,qwen3:32b,qwen3:32b,P1,13,145,140,4,4,9,9,1,0,4,4,4,4,0,0,0,0,0,0,0,0,145,140,0,0,0,0,0,0,0,0,0,0,0,,22.666080236434937
15,qwen3:32b,qwen3:32b,P2,13,100,135,3,4,8,9,7,0,3,4,3,4,0,0,0,0,0,0,0,0,100,135,0,0,0,0,0,0,1,0,0,0,0,,23.636449575424194
16,qwen3:32b,qwen3:32b,P2,13,100,155,3,4,9,10,6,3,3,4,3,4,0,0,0,0,0,0,0,0,100,155,0,0,0,0,0,0,0,0,0,0,0,,17.146180868148804
17,qwen3:32b,qwen3:32b,P1,13,145,105,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,0,1,0,0,0,,19.758054971694946
18,qwen3:32b,qwen3:32b,P2,13,110,145,3,4,9,9,6,0,3,4,3,4,0,0,0,0,0,0,0,0,110,145,0,0,0,0,0,0,0,0,0,0,0,,20.559173107147217
19,qwen3:32b,qwen3:32b,P1,13,145,105,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,0,0,0,0,0,,19.563984155654907
20,qwen3:32b,qwen3:32b,P1,13,135,115,4,3,9,9,0,6,4,3,4,3,0,0,0,0,0,0,0,0,135,115,0,0,0,0,0,0,0,0,0,0,0,,21.599874019622803
21,qwen3:32b,qwen3:32b,P2,13,140,145,4,4,9,9,0,1,4,4,4,4,0,0,0,0,0,0,0,0,140,145,0,0,0,0,0,0,0,1,0,0,0,,27.85500693321228
22,qwen3:32b,qwen3:32b,P1,13,145,105,4,3,9,9,5,6,4,3,4,3,0,0,0,0,0,0,0,0,145,105,0,0,0,0,0,0,0,0,0,0,0,,18.43858551979065
23,qwen3:32b,qwen3:32b,P2,13,100,140,3,4,8,8,7,0,3,4,3,4,0,0,0,0,0,0,0,0,100,140,0,0,0,0,0,0,0,0,0,0,0,,17.61299157142639
24,qwen3:32b,qwen3:32b,P2,13,135,145,4,4,8,9,0,1,4,4,4,4,0,0,0,0,0,0,0,0,135,145,0,0,0,0,0,0,0,1,0,0,0,,22.780275344848633
25,qwen3:32b,qwen3:32b,P2,13,110,140,3,4,9,9,6,1,3,4,3,4,0,0,0,0,0,0,0,0,110,140,0,0,0,0,0,0,0,0,0,0,0,,20.45049500465393
26,qwen3:32b,qwen3:32b,P2,13,135,145,4,4,8,10,0,4,4,4,4,4,0,0,0,0,0,0,0,0,135,145,0,0,0,0,0,0,0,0,0,0,0,,19.98094606399536
27,qwen3:32b,qwen3:32b,P2,13,105,105,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,0,,20.233673810958862
28,qwen3:32b,qwen3:32b,P1,13,105,105,3,3,9,8,6,7,3,3,3,3,0,0,0,0,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,0,,18.46248722076416
29,qwen3:32b,qwen3:32b,P2,13,105,145,3,4,9,9,6,1,3,4,3,4,0,0,0,0,0,0,0,0,105,145,0,0,0,0,0,0,0,0,0,0,0,,20.693084478378296
30,qwen3:32b,qwen3:32b,P1,13,115,100,3,3,9,8,6,7,3,3,3,3,0,0,0,0,0,0,0,0,115,100,0,0,0,0,0,0,0,0,0,0,0,,19.22982120513916
31,qwen3:32b,qwen3:32b,P2,13,95,110,3,3,8,9,7,6,3,3,3,3,0,0,0,0,0,0,0,0,95,110,0,0,0,0,0,0,0,0,0,0,0,,19.715824604034424
32,qwen3:32b,qwen3:32b,P1,13,135,115,4,3,9,9,1,6,4,3,4,3,0,0,0,0,0,0,0,0,135,115,0,0,0,0,0,0,0,0,0,0,0,,22.138325929641724
