match,p1_model,p2_model,winner,turns,p1_score,p2_score,p1_obj_count,p2_obj_count,p1_place,p2_place,p1_draw,p2_draw,p1_complete,p2_complete,p1_complete_scored,p2_complete_scored,p1_pts_series,p2_pts_series,p1_pts_parallel,p2_pts_parallel,p1_pts_mixed,p2_pts_mixed,p1_pts_bridge,p2_pts_bridge,p1_pts_cap,p2_pts_cap,p1_invalid,p2_invalid,p1_api_ok,p2_api_ok,p1_api_total,p2_api_total,p1_fallbacks,p2_fallbacks,p1_verify_fails,p2_verify_fails,voided,void_reason,elapsed
1,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,75,30,0,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,44.907063484191895
2,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,40,35,30,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.74946904182434
3,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,70,35,0,35,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.766560316085815
4,qwen3:32b,qwen3:32b,P2,13,110,195,3,5,9,9,6,0,3,4,3,4,35,70,30,35,45,90,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,,45.84622073173523
5,qwen3:32b,qwen3:32b,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,35,40,30,75,45,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.75504922866821
6,qwen3:32b,qwen3:32b,P2,13,115,190,3,5,9,9,6,0,3,4,3,4,35,100,35,0,45,90,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,,45.88713455200195
7,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,35,70,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.77682423591614
8,qwen3:32b,qwen3:32b,P2,13,105,120,3,3,9,9,6,6,3,3,3,3,30,75,30,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.85118579864502
9,qwen3:32b,qwen3:32b,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,30,75,35,40,45,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.76773405075073
10,qwen3:32b,qwen3:32b,P2,13,105,120,3,3,9,9,6,6,3,3,3,3,65,40,40,35,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.758241415023804
11,qwen3:32b,qwen3:32b,P2,13,105,120,3,3,9,9,6,6,3,3,3,3,65,40,40,35,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.76156449317932
12,qwen3:32b,qwen3:32b,P2,13,110,115,3,3,9,9,6,6,3,3,3,3,40,35,70,35,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.754709243774414
13,qwen3:32b,qwen3:32b,Draw,13,115,115,3,3,9,9,6,6,3,3,3,3,35,40,35,30,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.77761769294739
14,qwen3:32b,qwen3:32b,P2,13,105,120,3,3,9,9,6,6,3,3,3,3,0,75,105,0,0,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.773051500320435
15,qwen3:32b,qwen3:32b,P1,13,120,110,3,3,9,9,6,6,3,3,3,3,75,0,0,65,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.755945920944214
16,qwen3:32b,qwen3:32b,P2,13,110,120,3,3,9,9,6,6,3,3,3,3,0,75,65,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.78085923194885
17,qwen3:32b,qwen3:32b,P2,13,110,120,3,3,9,9,6,6,3,3,3,3,30,75,35,0,45,45,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.76143407821655
18,qwen3:32b,qwen3:32b,P1,13,115,110,3,3,9,9,6,6,3,3,3,3,35,40,35,70,45,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,40.761860847473145
